epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2575.37,0.60386,0.33787,0.96526,0.99445,1,0.995,0.88315,0.56371,0.25562,0.92166,0.000462281,0.000462281,0.000462281
43,2633.58,0.62062,0.33891,0.9732,0.99286,1,0.995,0.88795,0.56156,0.24194,0.91864,0.000438703,0.000438703,0.000438703
44,2693.38,0.61755,0.33774,0.95385,0.98969,1,0.995,0.88112,0.563,0.25199,0.91658,0.000415124,0.000415124,0.000415124
45,2750.49,0.6183,0.3297,0.96266,0.99503,0.99735,0.995,0.87256,0.57565,0.25075,0.93678,0.000391546,0.000391546,0.000391546
46,2809.38,0.60197,0.31542,0.95668,0.99756,0.9855,0.99474,0.88752,0.54444,0.23873,0.90831,0.000367967,0.000367967,0.000367967
47,2869.76,0.59722,0.32359,0.9588,0.99616,0.99575,0.995,0.88148,0.56309,0.23486,0.9138,0.000344389,0.000344389,0.000344389
48,2933.35,0.61669,0.32957,0.96577,0.9946,1,0.995,0.88522,0.5497,0.23065,0.91288,0.00032081,0.00032081,0.00032081
49,2993.11,0.61908,0.31585,0.96228,0.98102,1,0.995,0.89022,0.5562,0.23606,0.91935,0.000297232,0.000297232,0.000297232
50,3055.55,0.60806,0.32305,0.96513,0.99591,1,0.995,0.8842,0.53099,0.23255,0.90297,0.000273654,0.000273654,0.000273654
51,3127.14,0.55885,0.28199,0.9631,0.99621,1,0.995,0.89157,0.53861,0.24807,0.90704,0.000250075,0.000250075,0.000250075
52,3190.91,0.54697,0.26663,0.95369,0.99716,1,0.995,0.88778,0.53224,0.24238,0.89893,0.000226497,0.000226497,0.000226497
53,3255.67,0.54748,0.25551,0.96151,0.99817,0.99969,0.995,0.89041,0.53809,0.23721,0.91108,0.000202918,0.000202918,0.000202918
54,3318.51,0.53313,0.24803,0.94952,0.99739,1,0.995,0.88346,0.54356,0.24024,0.9096,0.00017934,0.00017934,0.00017934
55,3383.09,0.52943,0.25539,0.92786,0.99698,1,0.995,0.88853,0.52414,0.2328,0.90328,0.000155761,0.000155761,0.000155761
56,3448.4,0.53379,0.24633,0.93799,0.99667,1,0.995,0.90285,0.51775,0.22374,0.89775,0.000132183,0.000132183,0.000132183
57,3513.67,0.53417,0.24716,0.9408,0.99745,1,0.995,0.90152,0.50931,0.22441,0.89612,0.000108604,0.000108604,0.000108604
58,3579.2,0.51915,0.23977,0.93033,0.99791,1,0.995,0.89373,0.50044,0.21743,0.88767,8.50255e-05,8.50255e-05,8.50255e-05
59,3641.23,0.51711,0.23409,0.92923,0.9977,1,0.995,0.90273,0.50421,0.21761,0.88508,6.1447e-05,6.1447e-05,6.1447e-05
60,3704.15,0.51261,0.23156,0.91975,0.9976,1,0.995,0.90081,0.50377,0.21643,0.8893,3.78685e-05,3.78685e-05,3.78685e-05
